created_at,company,url,text,retweets,likes,id
2017-11-30 16:03:31,American Express,https://twitter.com/AmericanExpress/status/936264437173977088,@voicesofmadness sorry to hear this. Looping in @AmexIndia to see if they can help. ^A,0,0,936264437173977088
2017-11-30 16:03:06,American Express,https://twitter.com/AmericanExpress/status/936264333977423873,"@thewebwright good morning, looping in our customer care team @AskAmex to help. ^A",0,1,936264333977423873
2017-11-30 15:30:02,American Express,https://twitter.com/AmericanExpress/status/936256012801204225,"Across LA, @Hot8Yoga creates a community that focuses on personal growth and believes that when you #ShopSmall, eve… https://t.co/LkRH0VSkVq",0,5,936256012801204225
2017-11-30 14:58:08,American Express,https://twitter.com/AmericanExpress/status/936247981212422151,RT @WaitressMusical: Our brilliant composer @SaraBareilles is coming back to the diner for a 2nd shift! @AmericanExpress Card Members can g…,38,0,936247981212422151
2017-11-30 12:45:27,American Express,https://twitter.com/AmericanExpress/status/936214590991622144,@amarilis_1222 sorry to hear about this. Adding @AskAmex to see if they can try to look into this. ^A,0,0,936214590991622144
2017-11-30 12:44:51,American Express,https://twitter.com/AmericanExpress/status/936214439921160192,"@somilagrawal hi, connecting you to @AmexIndia to see if they can help. ^A",0,0,936214439921160192
2017-11-30 12:43:06,American Express,https://twitter.com/AmericanExpress/status/936214000232255494,"@HollieHennessy hi, adding @AskAmexUK to see if they can try to look into this. ^A",0,0,936214000232255494
2017-11-29 21:00:54,American Express,https://twitter.com/AmericanExpress/status/935976890455805952,"@soapfarm1 hi, looping in @AskAmex to see if they can provide assistance. ^A",0,0,935976890455805952
2017-11-29 20:40:29,American Express,https://twitter.com/AmericanExpress/status/935971751305113600,"RT @TheFashionPoet: Thanks to @americanexpress, my second stop in Tampa on my hunt for cool mom and pop businesses was the @oxfordexchange.…",1,0,935971751305113600
2017-11-29 18:36:03,American Express,https://twitter.com/AmericanExpress/status/935940433934462976,We're proud to be named to the @GPTW_US @FortuneMagazine #BestWorkplaces for Parents list: https://t.co/EZLYQESgZE,4,25,935940433934462976
2017-11-29 18:01:44,American Express,https://twitter.com/AmericanExpress/status/935931800764977152,@PHILHEATH We love that you love The Centurion Lounge. ^E,0,0,935931800764977152
2017-11-29 18:00:36,American Express,https://twitter.com/AmericanExpress/status/935931513694191617,@candagmom Please fwd the email to spoof@americanexpress.com so we can look into this. Thanks. ^E,0,1,935931513694191617
2017-11-29 17:59:26,American Express,https://twitter.com/AmericanExpress/status/935931222471127040,@JRogoff Sorry to hear this. Can our social servicing team @AskAmex try to assist with anything? ^E,0,0,935931222471127040
