created_at,company,url,text,retweets,likes,id
2017-11-30 17:31:33,Coca-Cola,https://twitter.com/CocaCola/status/936286590804090880,"@hgeddings Hi, Heather. Please call 800-557-4616, M-F 9a-7p EST, so we can assist you. Thanks for reaching out!",0,0,936286590804090880
2017-11-30 17:22:34,Coca-Cola,https://twitter.com/CocaCola/status/936284332121051138,"@driving_sa Please send a DM with your name, telephone, and address so we can follow up with you and look into this… https://t.co/06S6J2v1pb",0,0,936284332121051138
2017-11-30 16:23:00,Coca-Cola,https://twitter.com/CocaCola/status/936269342391590912,"@josh_in_hb Josh, please call us at (800) GET-COKE, M-F 9a-7p EST, so we can look into this. Your Ref# is 800722882… https://t.co/aM66jOpYra",0,0,936269342391590912
2017-11-30 16:16:00,Coca-Cola,https://twitter.com/CocaCola/status/936267580607750144,@mackennapann You nailed it! What a shot. 📸,0,0,936267580607750144
2017-11-30 16:07:27,Coca-Cola,https://twitter.com/CocaCola/status/936265428476841984,"@morgankayser We're not crying, you're crying! Here's to a long, happy, Coca-Cola filled marriage!",0,0,936265428476841984
2017-11-30 16:00:07,Coca-Cola,https://twitter.com/CocaCola/status/936263580948877315,@LC_718 It's the most wonderful time of the year!,0,0,936263580948877315
2017-11-30 15:53:01,Coca-Cola,https://twitter.com/CocaCola/status/936261793109995520,"@bradyp_8 You're making us blush, Brady!",1,1,936261793109995520
2017-11-30 15:52:26,Coca-Cola,https://twitter.com/CocaCola/status/936261649270484992,@feelinggodly That's true love if we've ever seen it!,0,0,936261649270484992
2017-11-30 15:20:13,Coca-Cola,https://twitter.com/CocaCola/status/936253541974466565,@mEmelyne_is_ded Cheers! ❤️,1,2,936253541974466565
2017-11-30 15:19:30,Coca-Cola,https://twitter.com/CocaCola/status/936253358574395392,"@MrScottHDuke You're doing it right, Scott!",1,1,936253358574395392
2017-11-30 14:40:39,Coca-Cola,https://twitter.com/CocaCola/status/936243581433536512,@leslieberland We love that pop of Coca-Cola red!,0,2,936243581433536512
2017-11-30 14:32:15,Coca-Cola,https://twitter.com/CocaCola/status/936241467789598720,We’ve got that three ⭐ feeling. #ServeACoke in @CookingFever. https://t.co/0qG4dyit8z,13,76,936241467789598720
2017-11-30 02:49:00,Coca-Cola,https://twitter.com/CocaCola/status/936064491330162688,@andrewLAwalter #SpriteCranberry can be found in all retail outlets. AKA just about anywhere. #WannaSprite https://t.co/Yt1IkV9F7M,0,1,936064491330162688
2017-11-30 02:45:37,Coca-Cola,https://twitter.com/CocaCola/status/936063638527512576,"@bigcheese324 We're glad to hear of your interest in our Company. For more information on vacancies, please feel fr… https://t.co/CVksfsORXB",0,1,936063638527512576
